source,target,famrel
1,318,broer_van
1,982,broer_van
6,951,oom_van
7,145,vader_van
7,536,vader_van
10,126,zwager_van
11,1047,vader_van
14,3064,zwager_van
15,817,broer_van
17,46,broer_van
17,247,zwager_van
17,159,oomzegger_van
17,274,neef_van
25,310,broer_van
25,770,oomzegger_van
26,113,zwager_van
29,768,oomzegger_van
33,122,broer_van
35,38,zwager_van
35,880,oom_van
35,2027,zwager_van
36,1016,broer_van
38,35,zwager_van
38,880,oom_van
38,2027,zwager_van
40,484,zwager_van
41,202,zwager_van
42,632,oom_van
44,1123,zwager_van
45,57,broer_van
46,17,broer_van
46,247,zwager_van
46,159,oomzegger_van
46,274,neef_van
48,368,oom_van
50,325,broer_van
51,1015,zwager_van
52,1019,zwager_van
52,1036,broer_van
52,1055,zwager_van
52,492,zwager_van
52,552,zwager_van
52,842,zwager_van
52,1015,zwager_van
52,1064,zwager_van
52,573,neef_van
53,925,zwager_van
53,224,neef_van
53,979,oomzegger_van
57,45,broer_van
57,445,zwager_van
57,1156,zwager_van
59,494,oomzegger_van
59,631,neef_van
59,912,oomzegger_van
60,115,zwager_van
64,503,zwager_van
67,68,broer_van
68,67,broer_van
70,162,zoon_van
70,436,neef_van
70,442,neef_van
70,458,neef_van
71,361,zwager_van
78,872,neef_van
79,828,neef_van
80,679,zwager_van
80,1117,zwager_van
85,369,vader_van
85,398,oom_van
96,528,zwager_van
101,878,vader_van
102,603,oom_van
102,677,neef_van
102,694,neef_van
104,133,broer_van
108,664,vader_van
110,846,broer_van
110,644,oom_van
113,26,zwager_van
115,146,broer_van
115,654,broer_van
115,60,zwager_van
116,307,neef_van
117,932,neef_van
122,33,broer_van
124,1109,oomzegger_van
125,1161,broer_van
126,10,zwager_van
126,1022,zwager_van
130,381,oom_van
131,930,broer_van
133,104,broer_van
135,163,broer_van
135,521,neef_van
135,1027,neef_van
138,487,zoon_van
138,566,broer_van
141,151,broer_van
142,980,zoon_van
142,1142,neef_van
144,481,broer_van
144,383,neef_van
144,2057,oomzegger_van
144,3008,oomzegger_van
145,7,zoon_van
145,536,broer_van
146,115,broer_van
146,654,broer_van
149,1081,broer_van
150,510,zoon_van
151,141,broer_van
152,1121,zoon_van
153,551,zoon_van
153,1094,broer_van
153,512,oomzegger_van
159,274,vader_van
159,17,oom_van
159,46,oom_van
159,247,oom_van
162,70,vader_van
162,436,oom_van
162,442,oom_van
162,458,oom_van
163,135,broer_van
163,521,neef_van
163,1027,neef_van
166,838,oomzegger_van
167,682,zwager_van
173,352,vader_van
174,627,zwager_van
176,190,broer_van
180,429,zwager_van
180,2012,broer_van
190,176,broer_van
193,378,vader_van
194,205,zwager_van
195,788,vader_van
196,354,vader_van
196,403,vader_van
196,371,oom_van
196,396,oom_van
196,460,zwager_van
199,482,neef_van
199,1034,neef_van
200,844,broer_van
201,294,broer_van
201,845,broer_van
201,659,neef_van
202,315,oom_van
202,41,zwager_van
204,313,broer_van
205,194,zwager_van
206,1017,broer_van
206,690,zwager_van
207,786,broer_van
207,899,zwager_van
212,292,zwager_van
213,215,broer_van
214,284,broer_van
214,1055,zwager_van
215,213,broer_van
216,1001,vader_van
216,1002,oom_van
217,533,vader_van
217,658,vader_van
217,343,oom_van
217,524,oom_van
217,568,oom_van
217,646,oom_van
217,659,oom_van
217,3059,zwager_van
218,625,broer_van
218,3070,zwager_van
220,571,zwager_van
222,309,zwager_van
222,923,zwager_van
224,53,neef_van
224,837,oomzegger_van
229,867,broer_van
229,309,zwager_van
229,820,zwager_van
229,1157,zwager_van
229,860,neef_van
230,1043,neef_van
234,519,neef_van
235,375,vader_van
235,1078,vader_van
237,347,oom_van
237,819,neef_van
239,370,oom_van
239,3053,broer_van
245,1011,broer_van
247,17,zwager_van
247,46,zwager_van
247,159,oomzegger_van
249,266,broer_van
249,895,zwager_van
249,924,oom_van
249,277,neef_van
255,498,neef_van
258,329,zwager_van
261,1152,broer_van
261,542,neef_van
261,729,neef_van
266,249,broer_van
266,277,neef_van
269,869,vader_van
269,934,vader_van
269,301,neef_van
269,552,neef_van
270,1122,zwager_van
272,815,vader_van
272,2039,vader_van
272,863,oom_van
273,1058,zwager_van
273,1127,neef_van
274,159,zoon_van
274,17,neef_van
274,46,neef_van
277,857,zwager_van
277,925,zwager_van
277,249,neef_van
277,266,neef_van
278,1006,neef_van
280,776,oomzegger_van
284,214,broer_van
286,394,vader_van
287,603,oom_van
288,465,broer_van
292,212,zwager_van
294,201,broer_van
294,845,broer_van
294,659,neef_van
299,330,zwager_van
301,552,broer_van
301,269,neef_van
307,116,neef_van
308,873,oomzegger_van
308,955,neef_van
308,1052,neef_van
309,222,zwager_van
309,923,broer_van
309,229,zwager_van
309,820,zwager_van
309,1157,zwager_van
310,25,broer_van
310,770,oomzegger_van
311,733,zwager_van
313,204,broer_van
315,202,oomzegger_van
318,1,broer_van
318,982,broer_van
322,483,neef_van
324,455,zwager_van
325,50,broer_van
325,548,zwager_van
326,607,broer_van
329,258,zwager_van
330,299,zwager_van
335,674,broer_van
335,792,broer_van
337,466,zoon_van
337,1147,zwager_van
339,704,broer_van
339,507,neef_van
339,1051,oomzegger_van
343,524,broer_van
343,646,zwager_van
343,3059,zoon_van
343,217,oomzegger_van
343,533,neef_van
343,658,neef_van
343,659,neef_van
346,921,zoon_van
347,237,oomzegger_van
352,173,zoon_van
354,196,zoon_van
354,403,broer_van
354,371,neef_van
354,396,neef_van
354,460,oomzegger_van
356,858,neef_van
360,755,broer_van
360,967,broer_van
361,1133,broer_van
361,71,zwager_van
364,380,neef_van
365,534,broer_van
365,1122,zoon_van
368,48,oomzegger_van
369,85,zoon_van
369,398,neef_van
370,3053,zoon_van
370,239,oomzegger_van
371,396,broer_van
371,460,zoon_van
371,196,oomzegger_van
371,354,neef_van
371,403,neef_van
373,833,oomzegger_van
373,2044,neef_van
375,235,zoon_van
375,1078,broer_van
376,703,broer_van
376,707,zwager_van
376,3023,broer_van
376,3054,zoon_van
378,193,zoon_van
379,783,zoon_van
380,364,neef_van
381,130,oomzegger_van
381,707,neef_van
383,2057,zoon_van
383,144,neef_van
383,481,neef_van
383,3008,oomzegger_van
390,397,vader_van
391,760,zwager_van
392,618,broer_van
392,688,zoon_van
392,1096,neef_van
393,419,zoon_van
394,286,zoon_van
395,485,zoon_van
396,371,broer_van
396,460,zoon_van
396,196,oomzegger_van
396,354,neef_van
396,403,neef_van
397,390,zoon_van
398,85,oomzegger_van
398,369,neef_van
398,668,oomzegger_van
401,472,zoon_van
403,196,zoon_van
403,354,broer_van
403,371,neef_van
403,396,neef_van
403,460,oomzegger_van
407,705,oomzegger_van
412,546,zoon_van
412,949,broer_van
412,2021,zoon_van
413,655,broer_van
413,503,neef_van
417,902,schoonzoon_van
418,709,zwager_van
419,393,vader_van
419,974,neef_van
420,531,vader_van
424,651,neef_van
426,2057,zwager_van
427,838,zwager_van
429,441,oom_van
429,180,zwager_van
429,2012,zwager_van
429,455,neef_van
431,1136,zwager_van
436,442,broer_van
436,458,broer_van
436,70,neef_van
436,162,oomzegger_van
439,839,zwager_van
441,3032,neef_van
441,429,oomzegger_van
442,436,broer_van
442,458,broer_van
442,70,neef_van
442,162,oomzegger_van
444,449,broer_van
445,57,zwager_van
445,1156,zwager_van
445,1092,neef_van
447,1103,oomzegger_van
447,1106,oomzegger_van
449,444,broer_van
454,1050,zwager_van
455,324,zwager_van
455,429,neef_van
458,436,broer_van
458,442,broer_van
458,70,neef_van
458,162,oomzegger_van
459,615,oom_van
459,528,neef_van
459,606,neef_van
460,371,vader_van
460,396,vader_van
460,196,zwager_van
460,354,oom_van
460,403,oom_van
460,665,zwager_van
465,288,broer_van
466,337,vader_van
466,1147,schoonvader_van
467,556,zwager_van
467,622,zwager_van
467,1007,zwager_van
471,602,zwager_van
472,401,vader_van
478,930,oom_van
478,2057,neef_van
480,515,zwager_van
480,999,neef_van
481,144,broer_van
481,383,neef_van
481,2057,oomzegger_van
481,3008,oomzegger_van
482,199,neef_van
482,1034,neef_van
483,322,neef_van
484,40,zwager_van
485,395,vader_van
486,836,zwager_van
487,138,vader_van
487,566,vader_van
488,2005,broer_van
488,2061,zoon_van
489,2045,broer_van
490,631,zwager_van
490,646,neef_van
490,494,oomzegger_van
490,912,oomzegger_van
492,52,zwager_van
492,552,zwager_van
492,842,zwager_van
492,1015,zwager_van
492,1064,zwager_van
494,59,oom_van
494,490,oom_van
494,631,oom_van
494,912,zwager_van
496,1084,vader_van
497,570,neef_van
498,661,vader_van
498,753,vader_van
498,255,neef_van
502,963,neef_van
503,64,zwager_van
503,413,neef_van
503,655,neef_van
504,840,neef_van
506,1142,zwager_van
507,339,neef_van
507,704,neef_van
509,635,zwager_van
510,150,vader_van
511,2030,neef_van
512,153,oom_van
512,551,zwager_van
512,1094,oom_van
515,480,zwager_van
516,891,oomzegger_van
516,892,oomzegger_van
518,789,zwager_van
519,234,neef_van
520,1023,oomzegger_van
521,1027,broer_van
521,135,neef_van
521,163,neef_van
524,343,broer_van
524,646,zwager_van
524,3059,zoon_van
524,217,oomzegger_van
524,533,neef_van
524,658,neef_van
524,659,neef_van
525,3037,oomzegger_van
528,1137,zwager_van
528,96,zwager_van
528,459,neef_van
528,606,neef_van
530,614,zwager_van
530,1106,oomzegger_van
531,420,zoon_van
533,217,zoon_van
533,658,broer_van
533,343,neef_van
533,524,neef_van
533,659,neef_van
533,3059,oomzegger_van
534,365,broer_van
534,1122,zoon_van
535,539,zwager_van
535,670,zwager_van
535,837,oomzegger_van
536,7,zoon_van
536,145,broer_van
537,598,broer_van
537,1124,zoon_van
539,535,zwager_van
539,670,broer_van
539,837,oomzegger_van
539,1025,neef_van
541,1131,oomzegger_van
541,729,oomzegger_van
542,261,neef_van
542,729,neef_van
542,1152,neef_van
546,412,vader_van
546,949,vader_van
546,2021,broer_van
546,2021,zwager_van
547,559,oomzegger_van
548,325,zwager_van
551,153,vader_van
551,1094,vader_van
551,512,zwager_van
552,301,broer_van
552,52,zwager_van
552,492,zwager_van
552,842,zwager_van
552,1015,zwager_van
552,1064,zwager_van
552,269,neef_van
553,789,broer_van
553,869,zwager_van
556,467,zwager_van
556,622,broer_van
556,1007,broer_van
559,585,broer_van
559,2013,zwager_van
559,547,oom_van
566,138,broer_van
566,487,zoon_van
568,1100,zoon_van
568,1120,zwager_van
568,659,zwager_van
568,217,oomzegger_van
568,3059,oomzegger_van
570,1086,zwager_van
570,497,neef_van
571,220,zwager_van
573,52,neef_van
579,768,neef_van
585,559,broer_van
585,2013,zwager_van
587,1043,zwager_van
598,537,broer_van
598,1124,zoon_van
602,471,zwager_van
603,102,oomzegger_van
603,287,oomzegger_van
605,647,broer_van
606,459,neef_van
606,528,neef_van
607,326,broer_van
614,530,zwager_van
614,1106,oomzegger_van
615,459,oomzegger_van
616,1104,neef_van
618,392,broer_van
618,688,zoon_van
618,1096,neef_van
622,467,zwager_van
622,556,broer_van
622,1007,broer_van
623,673,vader_van
625,218,broer_van
626,953,zwager_van
626,627,zwager_van
627,626,zwager_van
627,174,zwager_van
630,666,zwager_van
631,490,zwager_van
631,59,neef_van
631,494,oomzegger_van
631,912,oomzegger_van
631,1120,oomzegger_van
632,42,oomzegger_van
634,1130,zwager_van
634,1146,zwager_van
635,509,zwager_van
636,714,oomzegger_van
641,916,zwager_van
643,797,schoonvader_van
643,714,oom_van
643,723,oom_van
644,110,oomzegger_van
646,343,zwager_van
646,524,zwager_van
646,3059,schoonzoon_van
646,490,neef_van
646,217,oomzegger_van
647,605,broer_van
648,888,zoon_van
648,900,broer_van
648,699,zwager_van
651,424,neef_van
653,3067,zoon_van
654,115,broer_van
654,146,broer_van
655,413,broer_van
655,503,neef_van
658,217,zoon_van
658,533,broer_van
658,343,neef_van
658,524,neef_van
658,659,neef_van
658,3059,oomzegger_van
659,568,zwager_van
659,217,oomzegger_van
659,343,neef_van
659,524,neef_van
659,533,neef_van
659,658,neef_van
659,3059,oomzegger_van
659,201,neef_van
659,294,neef_van
659,845,neef_van
661,498,zoon_van
661,753,broer_van
662,953,broer_van
663,1150,zwager_van
663,1152,zwager_van
663,771,oomzegger_van
663,1150,neef_van
664,108,zoon_van
665,460,zwager_van
666,630,zwager_van
668,398,oom_van
670,535,zwager_van
670,539,broer_van
670,837,oomzegger_van
670,1025,neef_van
671,775,zoon_van
671,1091,neef_van
673,623,zoon_van
674,335,broer_van
674,792,broer_van
675,874,oom_van
675,889,broer_van
676,708,vader_van
676,711,vader_van
676,992,zwager_van
677,694,broer_van
677,102,neef_van
678,692,broer_van
678,991,broer_van
678,994,zwager_van
679,80,zwager_van
682,791,broer_van
682,167,zwager_van
683,711,schoonzoon_van
684,879,broer_van
684,3055,zoon_van
687,700,broer_van
687,895,zwager_van
687,924,oom_van
688,392,vader_van
688,618,vader_van
688,1096,oom_van
688,2004,neef_van
689,690,oom_van
690,206,zwager_van
690,689,oomzegger_van
692,678,broer_van
692,991,broer_van
692,994,zwager_van
694,677,broer_van
694,102,neef_van
696,754,vader_van
697,905,neef_van
697,936,neef_van
699,648,zwager_van
700,687,broer_van
702,770,zwager_van
703,376,broer_van
703,707,zwager_van
703,3023,broer_van
703,3054,zoon_van
704,339,broer_van
704,507,neef_van
705,407,oom_van
707,376,zwager_van
707,703,zwager_van
707,3023,zwager_van
707,3054,schoonzoon_van
707,381,neef_van
708,676,zoon_van
708,711,broer_van
709,418,zwager_van
710,1153,oom_van
711,683,schoonvader_van
711,676,zoon_van
711,708,broer_van
712,741,broer_van
712,741,zwager_van
714,723,broer_van
714,636,oom_van
714,643,oomzegger_van
717,1005,zwager_van
718,960,oomzegger_van
719,766,neef_van
723,714,broer_van
723,643,oomzegger_van
725,961,zwager_van
728,731,broer_van
728,882,broer_van
729,541,oom_van
729,261,neef_van
729,542,neef_van
729,1152,neef_van
731,728,broer_van
731,882,broer_van
731,892,schoonzoon_van
731,897,zwager_van
731,904,zwager_van
731,1010,zwager_van
733,311,zwager_van
734,3031,broer_van
734,3036,neef_van
741,712,broer_van
741,712,zwager_van
745,1155,neef_van
753,498,zoon_van
753,661,broer_van
754,696,zoon_van
755,360,broer_van
755,967,broer_van
756,1075,broer_van
756,1138,zoon_van
757,864,oomzegger_van
760,391,zwager_van
764,3068,broer_van
764,1080,neef_van
766,719,neef_van
766,891,oomzegger_van
766,903,neef_van
768,29,oom_van
768,579,neef_van
769,840,zwager_van
770,702,zwager_van
770,25,oom_van
770,310,oom_van
770,3058,neef_van
771,663,oom_van
771,1150,oom_van
775,671,vader_van
775,1091,oom_van
776,280,oom_van
779,781,zwager_van
781,779,zwager_van
783,379,vader_van
785,3040,broer_van
785,933,zwager_van
786,207,broer_van
788,195,zoon_van
788,2036,zwager_van
789,553,broer_van
789,869,zwager_van
789,518,zwager_van
791,682,broer_van
792,335,broer_van
792,674,broer_van
797,643,schoonzoon_van
798,1071,oom_van
799,2010,broer_van
799,2010,zwager_van
807,926,broer_van
807,928,zwager_van
815,272,zoon_van
815,2039,broer_van
817,15,broer_van
819,237,neef_van
819,989,neef_van
820,229,zwager_van
820,309,zwager_van
820,1157,zwager_van
828,79,neef_van
833,373,oom_van
833,2044,oom_van
833,980,neef_van
836,486,zwager_van
837,224,oom_van
837,535,oom_van
837,539,oom_van
837,670,oom_van
837,903,oom_van
837,1025,oom_van
838,166,oom_van
838,427,zwager_van
839,439,zwager_van
840,769,zwager_van
840,504,neef_van
842,52,zwager_van
842,492,zwager_van
842,552,zwager_van
842,1015,zwager_van
842,1064,zwager_van
844,200,broer_van
845,201,broer_van
845,294,broer_van
845,659,neef_van
846,110,broer_van
853,990,zoon_van
853,1032,zwager_van
857,277,zwager_van
858,356,neef_van
860,229,neef_van
860,867,neef_van
862,871,zwager_van
863,272,oomzegger_van
864,757,oom_van
864,873,oom_van
867,229,broer_van
867,860,neef_van
869,269,zoon_van
869,934,broer_van
869,553,zwager_van
869,789,zwager_van
871,1120,oomzegger_van
871,862,zwager_van
872,78,neef_van
873,308,oom_van
873,955,oom_van
873,1052,oom_van
873,864,oomzegger_van
874,889,zoon_van
874,675,oomzegger_van
876,893,zoon_van
876,950,broer_van
876,1085,broer_van
878,101,zoon_van
879,684,broer_van
879,3055,zoon_van
880,2027,zoon_van
880,35,oomzegger_van
880,38,oomzegger_van
882,728,broer_van
882,731,broer_van
886,914,schoonvader_van
888,648,vader_van
888,900,vader_van
889,874,vader_van
889,675,broer_van
891,903,vader_van
891,1029,schoonvader_van
891,766,oom_van
891,516,oom_van
891,892,zwager_van
892,731,schoonvader_van
892,897,vader_van
892,904,vader_van
892,1010,schoonvader_van
892,516,oom_van
892,891,zwager_van
892,903,oom_van
892,1029,oom_van
893,876,vader_van
893,950,vader_van
893,1085,vader_van
894,1087,vader_van
895,924,vader_van
895,249,zwager_van
895,687,zwager_van
897,731,zwager_van
897,892,zoon_van
897,904,broer_van
897,1010,zwager_van
899,207,zwager_van
900,648,broer_van
900,888,zoon_van
901,3050,vader_van
902,417,schoonvader_van
903,891,zoon_van
903,1029,zwager_van
903,766,neef_van
903,892,oomzegger_van
903,837,oomzegger_van
904,731,zwager_van
904,892,zoon_van
904,897,broer_van
904,1010,zwager_van
905,936,broer_van
905,2013,zwager_van
905,697,neef_van
908,918,neef_van
911,987,broer_van
911,1060,oom_van
912,59,oom_van
912,490,oom_van
912,494,zwager_van
912,631,oom_van
914,886,schoonzoon_van
915,952,vader_van
916,641,zwager_van
918,908,neef_van
921,346,vader_van
923,222,zwager_van
923,309,broer_van
924,895,zoon_van
924,249,oomzegger_van
924,687,oomzegger_van
924,995,oomzegger_van
925,53,zwager_van
925,277,zwager_van
925,1067,neef_van
926,807,broer_van
926,928,zwager_van
927,957,zwager_van
928,807,zwager_van
928,926,zwager_van
929,1031,neef_van
930,131,broer_van
930,478,oomzegger_van
931,1134,zwager_van
932,117,neef_van
933,785,zwager_van
934,269,zoon_van
934,869,broer_van
936,905,broer_van
936,697,neef_van
943,1069,zwager_van
943,1007,zwager_van
949,412,broer_van
949,546,zoon_van
949,2021,zoon_van
950,876,broer_van
950,893,zoon_van
950,1085,broer_van
951,6,oomzegger_van
952,915,zoon_van
953,662,broer_van
953,626,zwager_van
955,1052,broer_van
955,308,neef_van
955,873,oomzegger_van
957,1103,zoon_van
957,927,zwager_van
957,1106,oomzegger_van
960,718,oom_van
961,725,zwager_van
961,1115,neef_van
962,1041,neef_van
963,502,neef_van
967,360,broer_van
967,755,broer_van
974,419,neef_van
979,53,oom_van
979,1070,oom_van
980,142,vader_van
980,1142,oom_van
980,833,neef_van
982,1,broer_van
982,318,broer_van
987,1060,vader_van
987,911,broer_van
989,1083,vader_van
989,819,neef_van
990,853,vader_van
990,1032,schoonvader_van
991,678,broer_van
991,692,broer_van
991,994,zwager_van
992,676,zwager_van
993,1025,zwager_van
994,678,zwager_van
994,692,zwager_van
994,991,zwager_van
995,924,oom_van
995,1032,oom_van
999,480,neef_van
1001,216,zoon_van
1001,1002,neef_van
1002,216,oomzegger_van
1002,1001,neef_van
1004,2027,neef_van
1005,717,zwager_van
1006,278,neef_van
1007,943,zwager_van
1007,467,zwager_van
1007,556,broer_van
1007,622,broer_van
1010,731,zwager_van
1010,892,schoonzoon_van
1010,897,zwager_van
1010,904,zwager_van
1011,245,broer_van
1015,52,zwager_van
1015,492,zwager_van
1015,552,zwager_van
1015,842,zwager_van
1015,1064,broer_van
1015,51,zwager_van
1016,36,broer_van
1017,206,broer_van
1019,52,zwager_van
1019,1036,zwager_van
1019,1055,zwager_van
1020,1028,zwager_van
1022,126,zwager_van
1023,520,oom_van
1025,993,zwager_van
1025,539,neef_van
1025,670,neef_van
1025,837,oomzegger_van
1027,521,broer_van
1027,135,neef_van
1027,163,neef_van
1028,1020,zwager_van
1029,891,schoonzoon_van
1029,903,zwager_van
1029,892,oomzegger_van
1030,1145,broer_van
1031,929,neef_van
1032,853,zwager_van
1032,990,schoonzoon_van
1032,995,oomzegger_van
1034,199,neef_van
1034,482,neef_van
1036,52,broer_van
1036,1019,zwager_van
1036,1055,zwager_van
1038,1112,broer_van
1041,962,neef_van
1043,587,zwager_van
1043,230,neef_van
1047,11,zoon_van
1047,1093,zwager_van
1050,454,zwager_van
1051,339,oom_van
1052,955,broer_van
1052,308,neef_van
1052,873,oomzegger_van
1055,214,zwager_van
1055,52,zwager_van
1055,1019,zwager_van
1055,1036,zwager_van
1058,273,zwager_van
1060,987,zoon_van
1060,911,oomzegger_van
1064,52,zwager_van
1064,492,zwager_van
1064,552,zwager_van
1064,842,zwager_van
1064,1015,broer_van
1067,925,neef_van
1069,943,zwager_van
1070,979,oomzegger_van
1071,798,oomzegger_van
1075,756,broer_van
1075,1138,zoon_van
1077,2055,zoon_van
1077,2064,broer_van
1078,235,zoon_van
1078,375,broer_van
1080,764,neef_van
1080,3068,neef_van
1081,149,broer_van
1083,989,zoon_van
1084,496,zoon_van
1085,876,broer_van
1085,893,zoon_van
1085,950,broer_van
1086,570,zwager_van
1087,894,zoon_van
1088,2002,broer_van
1088,2062,zoon_van
1091,671,neef_van
1091,775,oomzegger_van
1092,445,neef_van
1093,1047,zwager_van
1094,153,broer_van
1094,551,zoon_van
1094,512,oomzegger_van
1096,392,neef_van
1096,618,neef_van
1096,688,oomzegger_van
1100,568,vader_van
1100,1120,schoonvader_van
1100,2056,oom_van
1103,957,vader_van
1103,447,oom_van
1103,1106,zwager_van
1104,616,neef_van
1106,530,oom_van
1106,614,oom_van
1106,447,oom_van
1106,957,oom_van
1106,1103,zwager_van
1109,124,oom_van
1112,1038,broer_van
1114,1116,broer_van
1115,961,neef_van
1116,1114,broer_van
1117,80,zwager_van
1120,631,oom_van
1120,871,oom_van
1120,568,zwager_van
1120,1100,schoonzoon_van
1121,152,vader_van
1122,365,vader_van
1122,534,vader_van
1122,270,zwager_van
1123,44,zwager_van
1124,537,vader_van
1124,598,vader_van
1127,273,neef_van
1130,634,zwager_van
1130,1146,broer_van
1131,541,oom_van
1133,361,broer_van
1134,931,zwager_van
1136,431,zwager_van
1137,528,zwager_van
1138,756,vader_van
1138,1075,vader_van
1142,506,zwager_van
1142,142,neef_van
1142,980,oomzegger_van
1145,1030,broer_van
1146,634,zwager_van
1146,1130,broer_van
1147,337,zwager_van
1147,466,schoonzoon_van
1150,663,zwager_van
1150,1152,zwager_van
1150,663,neef_van
1150,771,oomzegger_van
1152,261,broer_van
1152,663,zwager_van
1152,1150,zwager_van
1152,542,neef_van
1152,729,neef_van
1153,710,oomzegger_van
1155,745,neef_van
1156,57,zwager_van
1156,445,zwager_van
1157,229,zwager_van
1157,309,zwager_van
1157,820,zwager_van
1161,125,broer_van
2002,1088,broer_van
2002,2062,zoon_van
2004,688,neef_van
2005,488,broer_van
2005,2061,zoon_van
2010,799,broer_van
2010,799,zwager_van
2012,180,broer_van
2012,429,zwager_van
2013,905,zwager_van
2013,559,zwager_van
2013,585,zwager_van
2021,412,vader_van
2021,949,vader_van
2021,546,broer_van
2021,546,zwager_van
2027,880,vader_van
2027,35,zwager_van
2027,38,zwager_van
2027,1004,neef_van
2030,511,neef_van
2036,788,zwager_van
2039,272,zoon_van
2039,815,broer_van
2044,373,neef_van
2044,833,oomzegger_van
2045,489,broer_van
2055,1077,vader_van
2055,2064,vader_van
2056,1100,oomzegger_van
2057,383,vader_van
2057,144,oom_van
2057,481,oom_van
2057,3008,zwager_van
2057,478,neef_van
2057,3008,neef_van
2057,426,zwager_van
2061,488,vader_van
2061,2005,vader_van
2062,1088,vader_van
2062,2002,vader_van
2064,1077,broer_van
2064,2055,zoon_van
3008,144,oom_van
3008,383,oom_van
3008,481,oom_van
3008,2057,zwager_van
3008,2057,neef_van
3023,376,broer_van
3023,703,broer_van
3023,707,zwager_van
3023,3054,zoon_van
3024,3058,zoon_van
3031,734,broer_van
3031,3036,neef_van
3032,441,neef_van
3035,3057,zwager_van
3036,734,neef_van
3036,3031,neef_van
3037,525,oom_van
3040,785,broer_van
3050,901,zoon_van
3053,370,vader_van
3053,239,broer_van
3054,376,vader_van
3054,703,vader_van
3054,707,schoonvader_van
3054,3023,vader_van
3055,684,vader_van
3055,879,vader_van
3057,3035,zwager_van
3058,3024,vader_van
3058,770,neef_van
3059,343,vader_van
3059,524,vader_van
3059,646,schoonvader_van
3059,217,zwager_van
3059,533,oom_van
3059,568,oom_van
3059,658,oom_van
3059,659,oom_van
3064,14,zwager_van
3067,653,vader_van
3068,764,broer_van
3068,1080,neef_van
3070,218,zwager_van
